address,total_transaction,total_received,total_sent,indegree,outdegree,total_address,unique_address,redundant_address,average_address_per_tx,address_variance,average_indegree,indegree_variance,average_outdegree,outdegree_variance,income_to_expense_ratio,total_income_expense,average_income_per_indegree,income_variance,average_expense_per_outdegree,expense_variance,total_time_interval,avg_time_interval,var_time_interval,avg_time_interval_in_out,var_time_interval_in_out,symmetry,interval_day,unique_day,day_ratio,max_daily_tx,min_daily_tx,avg_daily_tx,var_daily_tx,med_daily_tx,0->0,0->1,1->0,1->1
14iMhu4Tn8xNemBUrBJQwNg8H6Nooj6FZd,100,0.35072792,0.35072792,55,55,10666,10275,391,106.66,11076.0444,5.44,159.2264,101.22,10122.0516,1,0.70145584,0.006376871,5.12E-05,0.006376871,5.12E-05,7236227,73093.20202,25014790276,36362.14545,2678127844,0.495783045,84,39,0.464285714,8,1,2.564102564,3.168967784,2,0.155555556,0.822222222,0.690909091,0.309090909
14iUKU62Xgen6jmWQqcoZbVu7h9MGVV3R4,6,0.43463592,0.43463592,5,5,19,7,12,3.166666667,0.805555556,1.666666667,1.222222222,1.5,0.25,1,0.86927184,0.086927184,0.001874477,0.086927184,0.001874477,853689,170737.8,33045211938,164287.4,34925807997,0.499224577,10,3,0.3,3,1,2,0.666666667,2,0.5,0.25,1,0
14iZnu5sD2DLY7Es2e1YzeyyEipzEdULEm,4,3.35E-05,3.35E-05,2,2,3900,3747,153,975,1411010.5,59.5,9920.25,915.5,1499886.25,1,6.70E-05,1.68E-05,4.56E-11,1.68E-05,4.56E-11,1376965,458988.3333,2.92E+11,76892.5,544265570.3,0,16,3,0.1875,2,1,1.333333333,0.222222222,1,0,0.5,1,0
14kqyVRuQ1JfqcwewGeBSh3LQdRRpc4zPc,100,0.74357701,0.74764846,50,51,1166,927,239,11.66,464.9644,3.88,107.5456,7.78,291.1516,1.005475492,1.49122547,0.01487154,0.000179527,0.014659774,0.000178249,24443556,246904.6061,71421403212,160104.78,55113079545,1.191574531,283,77,0.272084806,5,1,1.298701299,0.469219093,1,0.274509804,0.705882353,0.734693878,0.265306122
14kynS61xu9Z8b7YY1VXvzBavbuS29u9NN,20,0.17449088,0.17449088,10,10,391,301,90,19.55,807.9475,18.15,811.5275,1.4,0.24,1,0.34898176,0.017449088,0.000876698,0.017449088,0.000876698,15309107,805742.4737,1.70E+12,358283,2.88E+11,0.051598808,178,16,0.08988764,2,1,1.25,0.1875,1,0.2,0.7,0.8,0.2
14mC7Nep4bRQLgKZoEC8WDjk4aHzfQ4Q6s,100,0.00424799,0.00430446,50,55,100352,58575,41777,1003.52,1182816.99,70.93,18679.7051,932.59,1290128.782,1.013293346,0.00855245,8.50E-05,8.74E-09,7.83E-05,8.39E-09,21593967,218120.8788,1.14E+11,206956.68,67281769900,0.618457963,250,72,0.288,3,1,1.388888889,0.37654321,1,0.32,0.66,0.66,0.34
14mbhNfQLSorDXC8diYi818Eomr4hpRg42,18,0.15235264,0.15235264,10,10,2166,1420,746,120.3333333,29794.55556,111.3888889,31137.23765,8.944444444,152.3858025,1,0.30470528,0.015235264,0.000869906,0.015235264,0.000869906,135639163,7978774.294,4.70E+14,925090.3,4.25E+11,0.514485333,1570,15,0.00955414,3,1,1.2,0.293333333,1,0.5,0.375,0.4,0.6
14mxgkMFJ4aVULKiBziFgFAHRnQam4DGMQ,3,0.00416303,0.00416303,2,2,207,136,71,69,8712,67.33333333,8800.222222,1.666666667,0.222222222,1,0.00832606,0.002081515,2.95E-06,0.002081515,2.95E-06,52677713,26338856.5,6.91E+14,26338856.5,6.91E+14,0,610,3,0.004918033,1,1,1,0,1,0.5,0,1,0
14pGPztxm3nYYAKM2i2CowaKcUJXqAzBHG,2,0.00166479,0.00166479,1,1,6,5,1,3,0,1,0,2,0,1,0.00332958,0.00166479,0,0.00166479,0,69797122,69797122,0,69797122,0,0,808,2,0.002475248,1,1,1,0,1,0,0,1,0
14pmc89C1ZKfmsrSiCY9ZsG3KGs7Wun7E3,10,0.01610145,0.01610145,5,5,762,521,241,76.2,8461.36,72.5,8769.25,3.7,46.01,1,0.0322029,0.00322029,8.56E-06,0.00322029,8.56E-06,134772003,14974667,1.43E+15,500383.6,1.97E+11,0.104843296,1560,8,0.005128205,2,1,1.25,0.1875,1,0.2,0.6,0.8,0.2
14sjt1JEFWkYeY3ge9D7qXZYbvwcJ4N3tY,2,1.00E-05,1.00E-05,1,1,3305,3169,136,1652.5,1818452.25,116.5,13340.25,1536,2143296,1,2.00E-05,1.00E-05,0,1.00E-05,0,53563,53563,0,53563,0,0,1,1,1,2,2,2,0,2,0,0,1,0
14utnJuWvcJoyhdX4S13PZ8vqX7xM4bECR,2,5.95490777,5.95490777,1,1,162,161,1,81,5929,1,0,80,5929,1,11.90981554,5.95490777,0,5.95490777,0,57789,57789,0,57789,0,0,1,2,2,1,1,1,0,1,0,0,1,0
14w2UBzZpDCShL3sYjzDP9gLTys1ED9ymZ,44,0.00410143,0.00407693,24,22,6668,4920,1748,151.5454545,22587.92975,59.72727273,16125.88017,91.81818182,16993.42149,0.994026474,0.00817836,0.000170893,3.48E-08,0.000185315,3.55E-08,225936096,5254327.814,1.27E+14,741528.8182,9.45E+11,0.04742643,2616,38,0.014525994,2,1,1.157894737,0.132963989,1,0.047619048,0.952380952,0.869565217,0.086956522
14wUSejqrjVdC8Kp5hGmXp6LBN3cSxBeuf,6,0.00010397,0.00010397,3,3,6517,6066,451,1086.166667,1222318.472,40.16666667,7360.805556,1046,1291349,1,0.00020794,3.47E-05,5.15E-11,3.47E-05,5.15E-11,19410826,3882165.2,3.17E+13,141648.3333,6053957188,0,225,5,0.022222222,2,1,1.2,0.16,1,0,0.666666667,1,0
14wvZxxAHBFy51bua7ysi8jvvCdeZWKR62,26,0.00062101,0.00062101,14,14,23265,18835,4430,894.8076923,1120186.771,110.6538462,33113.91864,784.1538462,1255680.746,1,0.00124202,4.44E-05,2.56E-09,4.44E-05,2.56E-09,32834878,1313395.12,2.57E+12,925830.7857,1.32E+12,0.13911722,381,22,0.057742782,3,1,1.181818182,0.239669421,1,0.333333333,0.583333333,0.571428571,0.428571429
14x19NodDGn9DP7JCwd3nBZ46mRujWMJmd,100,1.37526306,1.37526306,50,50,1942,1803,139,19.42,1048.7236,1.98,20.4396,17.44,996.0664,1,2.75052612,0.027505261,0.001998068,0.027505261,0.001998068,58240021,588283.0404,1.13E+13,115823.08,9921019041,2.157931048,675,75,0.111111111,4,1,1.333333333,0.408888889,1,0.34,0.64,0.66,0.34
14xGktVgDJaDrSSJnF15d2kwXpwyeG3J2D,100,0.14041032,0.14041032,50,50,859,724,135,8.59,152.3619,1.61,1.6179,6.98,150.2996,1,0.28082064,0.002808206,1.20E-05,0.002808206,1.20E-05,38841429,392337.6667,4.21E+11,191069.94,47802400594,0.334316487,450,85,0.188888889,3,1,1.176470588,0.168858131,1,0.22,0.76,0.78,0.22
14xWeCZZVYtRPjNrU7WFXER3h8TuSnfCqu,32,0.54426105,0.54426105,16,16,1279,840,439,39.96875,5958.405273,28.875,5124.734375,11.09375,1224.897461,1,1.0885221,0.034016316,0.00159139,0.034016316,0.00159139,161528498,5210596.71,1.22E+14,279857.5625,90965578448,0.475135449,1870,21,0.011229947,4,1,1.523809524,0.630385488,1,0.1875,0.75,0.8125,0.1875
14xayexVEgu2dmRitxtMixvzehWgsvnbcg,2,0.03794,0.03794,1,1,10,8,2,5,4,3,4,2,0,1,0.07588,0.03794,0,0.03794,0,94213,94213,0,94213,0,0,2,2,1,1,1,1,0,1,0,0,1,0
14xw4HMtV5P8Gi9Uaf4sJ6tKjmteP3BtGd,3,1.46811804,1.46811804,2,2,30,26,4,10,34.66666667,7.666666667,36.22222222,2.333333333,0.222222222,1,2.93623608,0.73405902,0.000504047,0.73405902,0.000504047,1255637,627818.5,3.04E+11,627818.5,3.04E+11,0,15,3,0.2,1,1,1,0,1,0.5,0,1,0
14yNzP8WEJXzVoYHFKiJAoybHHN83YzmgS,20,0.00022697,0.00022697,10,10,22089,18738,3351,1104.45,1265828.748,140.95,35184.7475,963.5,1492653.35,1,0.00045394,2.27E-05,2.14E-10,2.27E-05,2.14E-10,35555748,1871355.158,4.98E+12,710498.5,5.37E+11,0.15,412,17,0.041262136,2,1,1.176470588,0.14532872,1,0.2,0.7,0.8,0.2
14ztjoqGZPBdc9kRe97NhMB2ukFMRd8ePD,100,0.0057677,0.00745267,80,105,4287,2912,1375,42.87,7713.6331,23.11,6849.2779,19.76,221.0624,1.292138981,0.01322037,7.21E-05,6.76E-11,7.10E-05,6.53E-11,847348,8559.070707,315101287.9,44653.28571,399106029.7,0.062524994,10,11,1.1,25,1,9.090909091,53.90082645,7,0.45,0.5,0.1375,0.8625
152367oCD44LHag4idHRjetdsT17yvMQaE,100,0.04217644,0.04320279,52,53,1735,1471,264,17.35,1046.7675,8.84,289.5344,8.51,285.0099,1.024334676,0.08537923,0.000811085,6.29E-08,0.000815147,6.26E-08,7827288,79063.51515,5700445179,36413.84615,1813053370,0.100228843,91,59,0.648351648,7,1,1.694915254,0.889974145,2,0.125,0.854166667,0.788461538,0.211538462
152UHqTKU3u4zwoe6Cu3jEW8tfTKXMDT94,100,2.63789548,2.65526443,51,52,3198,1753,1445,31.98,3434.3196,21.77,3412.4171,10.21,262.9859,1.006584397,5.29315991,0.051723441,0.003781928,0.051062778,0.003731459,133898437,1352509.465,1.89E+13,156371.098,50538813394,3.19133524,1550,75,0.048387097,4,1,1.333333333,0.355555556,1,0.183673469,0.795918367,0.764705882,0.235294118
153YSBdtbedrwcpRkCprt4ZPJoKvqyfcvq,2,1.84203072,1.84203072,1,1,286,285,1,143,19600,1.5,0.25,141.5,19460.25,1,3.68406144,1.84203072,0,1.84203072,0,152829,152829,0,152829,0,0,2,2,1,1,1,1,0,1,0,0,1,0
154Keu9CWDmjvz6fHMXxEwU1yX3EcrYPGr,5,0.03831116,0.03831116,3,3,72,43,29,14.4,137.84,11.4,154.64,3,4,1,0.07662232,0.012770387,1.13E-05,0.012770387,1.13E-05,214253,53563.25,2309327379,93185.33333,402005.5556,0.451180303,3,3,1,2,1,1.666666667,0.222222222,2,0.5,0,0.333333333,0.666666667
154Z4DSwsnMUKEQtnBbbyvmarJqZTwRjjV,2,0.00040487,0.00040487,1,1,35,34,1,17.5,210.25,1.5,0.25,16,225,1,0.00080974,0.00040487,0,0.00040487,0,277066,277066,0,277066,0,0,4,2,0.5,1,1,1,0,1,0,0,1,0
1554jYEuJC35v9LtsRfKcwdW9u5GSDP8ry,100,0.26657634,0.26657634,50,50,78575,14597,63978,785.75,633488.7475,1.83,5.3411,783.92,634643.9536,1,0.53315268,0.005331527,9.96E-07,0.005331527,9.96E-07,37667527,380480.0707,1.87E+11,157848.46,89869723828,0.00985257,436,84,0.19266055,2,1,1.19047619,0.154195011,1,0.04,0.94,0.96,0.04
155Uie8C2DTTc6Nk7QdRQVP125szoMPtRt,8,0.00620409,0.00620409,4,4,140,133,7,17.5,437,1.625,0.234375,15.875,455.109375,1,0.01240818,0.001551023,6.24E-07,0.001551023,6.24E-07,6989340,998477.1429,1.65E+12,420290.5,62823872176,0,81,8,0.098765432,1,1,1,0,1,0,0.75,1,0
156L7CG5iyBbxgLSrFDu7J6omsYp8XnHku,2,12.11334943,12.11334943,1,1,19,18,1,9.5,6.25,1,0,8.5,6.25,1,24.22669886,12.11334943,0,12.11334943,0,1418,1418,0,1418,0,0,1,1,1,2,2,2,0,2,0,0,1,0
156mMay7UBsGCkFCS2DtBTzTdnPUjhacZx,8,0.0036,0.0036,4,4,132,120,12,16.5,324.75,5.875,70.359375,10.625,230.734375,1,0.0072,0.0009,9.00E-08,0.0009,9.00E-08,878032,125433.1429,26672593960,35275,1919684161,0.125,11,5,0.454545455,3,1,1.6,0.64,1,0.25,0.5,0.75,0.25
1579i9E8AoRWYkUb8oPkzTUYQp2nW8C8Qn,6,0.04186166,0.04186166,3,3,82,53,29,13.66666667,205.2222222,11.66666667,205.2222222,2,0,1,0.08372332,0.013953887,4.75E-05,0.013953887,4.75E-05,349769,69953.8,10370323522,111516.3333,13234507015,0.147569925,5,3,0.6,3,1,2,0.666666667,2,0.333333333,0.333333333,0.666666667,0.333333333
