address,total_transaction,total_received,total_sent,indegree,outdegree,total_address,unique_address,redundant_address,average_address_per_tx,address_variance,average_indegree,indegree_variance,average_outdegree,outdegree_variance,income_to_expense_ratio,total_income_expense,average_income_per_indegree,income_variance,average_expense_per_outdegree,expense_variance,total_time_interval,avg_time_interval,var_time_interval,avg_time_interval_in_out,var_time_interval_in_out,symmetry,interval_day,unique_day,day_ratio,max_daily_tx,min_daily_tx,avg_daily_tx,var_daily_tx,med_daily_tx,0->0,0->1,1->0,1->1
14ciYPyCyvSLY1t6q8ANo9Sf96WtoPtgNP,64,1.1420737,1.1420737,35,35,2142,1011,1131,33.46875,5361.405273,29.109375,5426.816162,4.359375,59.88647461,1,2.2841474,0.032630677,0.002516569,0.032630677,0.002516569,161596438,2565022.825,5.16E+13,399377.8,4.96E+11,0.286282784,1871,46,0.024585783,3,1,1.391304348,0.281663516,1,0.172413793,0.793103448,0.685714286,0.314285714
14cs9aiVZo37r74a99q1LbEDm5Hu1LRXtF,100,0.01733578,0.01733578,50,50,36608,20083,16525,366.08,375886.3736,57.04,14778.4384,309.04,395081.6784,1,0.03467156,0.000346716,5.97E-08,0.000346716,5.97E-08,221021158,2232536.949,5.79E+13,611660.74,2.06E+12,0,2559,76,0.029699101,3,1,1.315789474,0.242382271,1,0,0.98,1,0
14dQCqNXnCuPdckMWEP2j6oF8V2d6kt5NM,6,4.70E-05,4.70E-05,3,3,9028,8556,472,1504.666667,1218503.222,205.8333333,50642.47222,1298.833333,1693740.139,1,9.40E-05,1.57E-05,1.09E-11,1.57E-05,1.09E-11,37089567,7417913.4,1.36E+14,78704.66667,5273529383,0,430,4,0.009302326,2,1,1.5,0.25,1.5,0,0.666666667,1,0
14eTTMnsUdA2w4bcceYTrBArGFpN7KNVok,6,0.00151045,0.00151045,3,3,192,166,26,32,2587.333333,25,2738,7,82,1,0.0030209,0.000503483,4.14E-07,0.000503483,4.14E-07,95510682,19102136.4,1.11E+15,337210,91705512117,0,1106,6,0.005424955,1,1,1,0,1,0,0.666666667,1,0
14ecNUbMb4Y3bqGhuEZ1VUhVWwAU7i534P,8,0.03025545,0.03025545,4,4,684,522,162,85.5,21616.75,83.5,21616.75,2,0,1,0.0605109,0.007563863,5.99E-06,0.007563863,5.99E-06,121943575,17420510.71,1.02E+15,242518.5,51412909243,0.348555687,1412,6,0.004249292,2,1,1.333333333,0.222222222,1,0.25,0.5,0.75,0.25
14eibfpxktdpwNNoaiERLM658RYr7xYP8H,23,0.15279446,0.15279446,12,12,873,494,379,37.95652174,7870.302457,36.13043478,7906.982987,1.826086957,0.143667297,1,0.30558892,0.012732872,0.000126282,0.012732872,0.000126282,193806884,8809403.818,5.14E+14,132978.0833,56961170020,0.133469739,2244,18,0.00802139,2,1,1.277777778,0.200617284,1,0,0.909090909,0.916666667,0.083333333
14erw3jw25kwdRZxi7iWuV7yWP635Ggi1P,2,0.00034324,0.00034324,1,1,131,128,3,65.5,0.25,14,169,51.5,156.25,1,0.00068648,0.00034324,0,0.00034324,0,11063,11063,0,11063,0,0,1,1,1,2,2,2,0,2,0,0,1,0
14fBFWJgqeDsizZ5Nv3SovzgTcqajiZYCH,76,0.0044288,0.0044288,40,40,79348,59504,19844,1044.052632,1291563.602,150.4868421,43973.56562,893.5657895,1510807.535,1,0.0088576,0.00011072,2.96E-07,0.00011072,2.96E-07,55536483,740486.44,2.06E+12,307059.875,1.62E+11,0.170903545,643,62,0.096423017,5,1,1.225806452,0.561914672,1,0.388888889,0.583333333,0.55,0.45
14g7usui76DZAWEzFFBr6Ei9DunuLygkut,8,0.00400638,0.00400638,4,4,1145,1073,72,143.125,57538.85938,46.25,4434.9375,96.875,61502.60938,1,0.00801276,0.001001595,7.36E-08,0.001001595,7.36E-08,124992394,17856056.29,7.53E+14,98223.75,22578014575,0,1447,5,0.003455425,2,1,1.6,0.24,2,0,0.75,1,0
14hJjuPgg2zSeNiXJbrAZnZMsfZQssowGp,2,0.00287362,0.00287362,1,1,10,7,3,5,0,2,0,3,0,1,0.00574724,0.00287362,0,0.00287362,0,2337897,2337897,0,2337897,0,0,28,2,0.071428571,1,1,1,0,1,0,0,1,0
